17:07:52.589779 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
17:07:52.590913 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
17:07:52.791662 IP 192.168.15.129.36294 > 192.168.15.2.domain: 6776+ PTR? 130.15.168.192.in-addr.arpa. (45)
17:07:52.804941 IP 192.168.15.2.domain > 192.168.15.129.36294: 6776 NXDomain 0/0/0 (45)
17:07:52.806720 IP 192.168.15.129.36884 > 192.168.15.130.loc-srv: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.114939 IP 192.168.15.129.36885 > 192.168.15.130.32774: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114961 IP 192.168.15.129.36885 > 192.168.15.130.1113: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114981 IP 192.168.15.129.36885 > 192.168.15.130.10778: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.114999 IP 192.168.15.129.36885 > 192.168.15.130.8180: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115065 IP 192.168.15.129.36885 > 192.168.15.130.2009: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115082 IP 192.168.15.129.36885 > 192.168.15.130.2179: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115099 IP 192.168.15.129.36885 > 192.168.15.130.1494: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115116 IP 192.168.15.129.36885 > 192.168.15.130.4444: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115135 IP 192.168.15.129.36885 > 192.168.15.130.714: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115152 IP 192.168.15.129.36885 > 192.168.15.130.6510: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.115188 IP 192.168.15.130.5911 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.115238 IP 192.168.15.130.1334 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.115282 IP 192.168.15.130.4343 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.115325 IP 192.168.15.130.49400 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116081 IP 192.168.15.130.720 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116146 IP 192.168.15.130.27000 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116230 IP 192.168.15.130.1065 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116253 IP 192.168.15.130.125 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116271 IP 192.168.15.130.32774 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116288 IP 192.168.15.130.1113 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116305 IP 192.168.15.130.10778 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116323 IP 192.168.15.130.8180 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116340 IP 192.168.15.130.2009 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116371 IP 192.168.15.130.2179 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116387 IP 192.168.15.130.1494 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116422 IP 192.168.15.130.4444 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116471 IP 192.168.15.130.714 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116488 IP 192.168.15.130.6510 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.116841 IP 192.168.15.129.36885 > 192.168.15.130.1067: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118127 IP 192.168.15.130.1067 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.118181 IP 192.168.15.129.36885 > 192.168.15.130.3766: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118255 IP 192.168.15.129.36885 > 192.168.15.130.4550: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118300 IP 192.168.15.129.36885 > 192.168.15.130.10001: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118343 IP 192.168.15.129.36885 > 192.168.15.130.2144: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118387 IP 192.168.15.129.36885 > 192.168.15.130.5550: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118433 IP 192.168.15.129.36885 > 192.168.15.130.11967: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118476 IP 192.168.15.129.36885 > 192.168.15.130.2393: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118499 IP 192.168.15.129.36885 > 192.168.15.130.kerberos: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118518 IP 192.168.15.129.36885 > 192.168.15.130.5811: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.118685 IP 192.168.15.130.3766 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.119047 IP 192.168.15.130.4550 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.119120 IP 192.168.15.130.10001 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.119468 IP 192.168.15.130.2144 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.119498 IP 192.168.15.129.36885 > 192.168.15.130.1034: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.119541 IP 192.168.15.129.36885 > 192.168.15.130.afs3-kaserver: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.119976 IP 192.168.15.130.5550 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120055 IP 192.168.15.130.11967 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120080 IP 192.168.15.130.2393 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120104 IP 192.168.15.130.kerberos > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120122 IP 192.168.15.130.5811 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120281 IP 192.168.15.130.1034 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.120549 IP 192.168.15.130.afs3-kaserver > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.212616 IP 192.168.15.129.36884 > 192.168.15.130.shell: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.213474 IP 192.168.15.130.shell > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.218046 IP 192.168.15.129.36884 > 192.168.15.130.5510: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.218791 IP 192.168.15.130.5510 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.223738 IP 192.168.15.129.36884 > 192.168.15.130.648: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.224454 IP 192.168.15.130.648 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.230065 IP 192.168.15.129.36884 > 192.168.15.130.49163: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.230768 IP 192.168.15.130.49163 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.235904 IP 192.168.15.129.36884 > 192.168.15.130.4000: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.236658 IP 192.168.15.130.4000 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.241956 IP 192.168.15.129.36884 > 192.168.15.130.iprop: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.242675 IP 192.168.15.130.iprop > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.247207 IP 192.168.15.129.36884 > 192.168.15.130.417: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.247940 IP 192.168.15.130.417 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.253228 IP 192.168.15.129.36884 > 192.168.15.130.8652: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.253997 IP 192.168.15.130.8652 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.259251 IP 192.168.15.129.36884 > 192.168.15.130.svn: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.259990 IP 192.168.15.130.svn > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.265355 IP 192.168.15.129.36884 > 192.168.15.130.1500: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.266075 IP 192.168.15.130.1500 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.271264 IP 192.168.15.129.36884 > 192.168.15.130.49157: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.271987 IP 192.168.15.130.49157 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.276496 IP 192.168.15.129.36884 > 192.168.15.130.4003: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.277237 IP 192.168.15.130.4003 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.282531 IP 192.168.15.129.36884 > 192.168.15.130.5280: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.283264 IP 192.168.15.130.5280 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.288458 IP 192.168.15.129.36884 > 192.168.15.130.bpjava-msvc: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.289244 IP 192.168.15.130.bpjava-msvc > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.294531 IP 192.168.15.129.36884 > 192.168.15.130.16018: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.295332 IP 192.168.15.130.16018 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.299885 IP 192.168.15.129.36884 > 192.168.15.130.1057: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.300685 IP 192.168.15.130.1057 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.305748 IP 192.168.15.129.36884 > 192.168.15.130.3905: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.306487 IP 192.168.15.130.3905 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.311900 IP 192.168.15.129.36884 > 192.168.15.130.6389: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.312668 IP 192.168.15.130.6389 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.317045 IP 192.168.15.129.36885 > 192.168.15.130.shell: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.317757 IP 192.168.15.130.shell > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.322131 IP 192.168.15.129.36885 > 192.168.15.130.5510: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.322841 IP 192.168.15.130.5510 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.327856 IP 192.168.15.129.36885 > 192.168.15.130.648: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.328698 IP 192.168.15.130.648 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.333868 IP 192.168.15.129.36885 > 192.168.15.130.49163: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.334625 IP 192.168.15.130.49163 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.339311 IP 192.168.15.129.36885 > 192.168.15.130.4000: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.340030 IP 192.168.15.130.4000 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.345504 IP 192.168.15.129.36885 > 192.168.15.130.iprop: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.346238 IP 192.168.15.130.iprop > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.351489 IP 192.168.15.129.36885 > 192.168.15.130.417: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.352225 IP 192.168.15.130.417 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.357355 IP 192.168.15.129.36885 > 192.168.15.130.8652: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.358171 IP 192.168.15.130.8652 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.362532 IP 192.168.15.129.36885 > 192.168.15.130.svn: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.363264 IP 192.168.15.130.svn > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.368675 IP 192.168.15.129.36885 > 192.168.15.130.1500: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.369422 IP 192.168.15.130.1500 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.374829 IP 192.168.15.129.36885 > 192.168.15.130.49157: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.375523 IP 192.168.15.130.49157 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.380445 IP 192.168.15.129.36885 > 192.168.15.130.4003: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.381197 IP 192.168.15.130.4003 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.386297 IP 192.168.15.129.36885 > 192.168.15.130.5280: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.387027 IP 192.168.15.130.5280 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.392366 IP 192.168.15.129.36885 > 192.168.15.130.bpjava-msvc: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.393105 IP 192.168.15.130.bpjava-msvc > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.398348 IP 192.168.15.129.36885 > 192.168.15.130.16018: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.399044 IP 192.168.15.130.16018 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.404533 IP 192.168.15.129.36885 > 192.168.15.130.1057: Flags [S], seq 2929815573, win 1024, options [mss 1460], length 0
17:07:54.405262 IP 192.168.15.130.1057 > 192.168.15.129.36885: Flags [R.], seq 0, ack 2929815574, win 0, length 0
17:07:54.415411 IP 192.168.15.129.36884 > 192.168.15.130.255: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.416152 IP 192.168.15.130.255 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.426553 IP 192.168.15.129.36884 > 192.168.15.130.60443: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.427301 IP 192.168.15.130.60443 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.436883 IP 192.168.15.129.36884 > 192.168.15.130.254: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.437619 IP 192.168.15.130.254 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.447993 IP 192.168.15.129.36884 > 192.168.15.130.isisd: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.448730 IP 192.168.15.130.isisd > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.458427 IP 192.168.15.129.36884 > 192.168.15.130.19101: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.459231 IP 192.168.15.130.19101 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.469782 IP 192.168.15.129.36884 > 192.168.15.130.7911: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.470589 IP 192.168.15.130.7911 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.480989 IP 192.168.15.129.36884 > 192.168.15.130.8031: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.481716 IP 192.168.15.130.8031 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.491259 IP 192.168.15.129.36884 > 192.168.15.130.1084: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.492080 IP 192.168.15.130.1084 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:54.502314 IP 192.168.15.129.36884 > 192.168.15.130.ms-sql-m: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:54.503058 IP 192.168.15.130.ms-sql-m > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.515596 IP 192.168.15.129.36884 > 192.168.15.130.5004: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.515728 IP 192.168.15.129.36884 > 192.168.15.130.1102: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.515792 IP 192.168.15.129.36884 > 192.168.15.130.5120: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.515855 IP 192.168.15.129.36884 > 192.168.15.130.1082: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.515921 IP 192.168.15.129.36884 > 192.168.15.130.1010: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.516060 IP 192.168.15.129.36884 > 192.168.15.130.7103: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.516392 IP 192.168.15.130.5004 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.516471 IP 192.168.15.130.1102 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.516560 IP 192.168.15.129.36884 > 192.168.15.130.1998: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.516627 IP 192.168.15.129.36884 > 192.168.15.130.5950: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.516682 IP 192.168.15.129.36884 > 192.168.15.130.1301: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.516781 IP 192.168.15.130.5120 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.516838 IP 192.168.15.130.1082 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.516954 IP 192.168.15.129.36884 > 192.168.15.130.2522: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.517047 IP 192.168.15.130.1010 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.517390 IP 192.168.15.130.7103 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.517477 IP 192.168.15.130.1998 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.517534 IP 192.168.15.130.5950 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.517624 IP 192.168.15.129.36884 > 192.168.15.130.700: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.517696 IP 192.168.15.129.36884 > 192.168.15.130.svrloc: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.517749 IP 192.168.15.129.36884 > 192.168.15.130.6547: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.517841 IP 192.168.15.130.1301 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.517928 IP 192.168.15.130.2522 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.518046 IP 192.168.15.129.36884 > 192.168.15.130.3211: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
17:07:55.518156 IP 192.168.15.130.700 > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.518350 IP 192.168.15.130.svrloc > 192.168.15.129.36884: Flags [R.], seq 0, ack 2929750037, win 0, length 0
17:07:55.518484 IP 192.168.15.129.36884 > 192.168.15.130.10010: Flags [S], seq 2929750036, win 1024, options [mss 1460], length 0
